Date,DepartementID,Département,TypeTransaction,TypeDépense,Montant,Montant_Signe,Responsable,Client_Fournisseur,Projet,Année,Mois,Trimestre,AnnéeFiscale,JourSemaine,Semaine,JourAnnée,YearMonth
2026-07-02,,Non renseigné,Revenu,Salaire,2680.0,2680.0,Non renseigné,Non renseigné,Sans projet,2026.0,7.0,3.0,2026.0,Thursday,27,183.0,2026-07
2026-09-01,,Non renseigné,Revenu,Autre,388.58,388.58,Non renseigné,Non renseigné,Sans projet,2026.0,9.0,3.0,2026.0,Tuesday,36,244.0,2026-09
2026-07-02,,Non renseigné,Revenu,Alimentation,162.92,162.92,Non renseigné,Non renseigné,Sans projet,2026.0,7.0,3.0,2026.0,Thursday,27,183.0,2026-07
2026-09-01,,Non renseigné,Revenu,Salaire,1910.0,1910.0,Non renseigné,Non renseigné,Sans projet,2026.0,9.0,3.0,2026.0,Tuesday,36,244.0,2026-09
2026-04-02,,Non renseigné,Revenu,Factures,474.63,474.63,Non renseigné,Non renseigné,Sans projet,2026.0,4.0,2.0,2026.0,Thursday,14,92.0,2026-04
2026-01-01,,Non renseigné,Revenu,Factures,311.42,311.42,Non renseigné,Non renseigné,Sans projet,2026.0,1.0,1.0,2026.0,Thursday,1,1.0,2026-01
2026-11-02,,Non renseigné,Revenu,Loisirs,16.51,16.51,Non renseigné,Non renseigné,Sans projet,2026.0,11.0,4.0,2026.0,Monday,45,306.0,2026-11
2026-08-02,,Non renseigné,Revenu,Loisirs,146.29,146.29,Non renseigné,Non renseigné,Sans projet,2026.0,8.0,3.0,2026.0,Sunday,31,214.0,2026-08
2026-10-02,,Non renseigné,Revenu,Salaire,2193.0,2193.0,Non renseigné,Non renseigné,Sans projet,2026.0,10.0,4.0,2026.0,Friday,40,275.0,2026-10
2026-12-02,,Non renseigné,Revenu,Salaire,2833.0,2833.0,Non renseigné,Non renseigné,Sans projet,2026.0,12.0,4.0,2026.0,Wednesday,49,336.0,2026-12
2026-07-02,,Non renseigné,Revenu,Alimentation,440.87,440.87,Non renseigné,Non renseigné,Sans projet,2026.0,7.0,3.0,2026.0,Thursday,27,183.0,2026-07
2026-12-01,,Non renseigné,Revenu,Factures,115.3,115.3,Non renseigné,Non renseigné,Sans projet,2026.0,12.0,4.0,2026.0,Tuesday,49,335.0,2026-12
2026-06-01,,Non renseigné,Revenu,Autre,140.07,140.07,Non renseigné,Non renseigné,Sans projet,2026.0,6.0,2.0,2026.0,Monday,23,152.0,2026-06
2026-05-02,,Non renseigné,Revenu,Transport,246.45,246.45,Non renseigné,Non renseigné,Sans projet,2026.0,5.0,2.0,2026.0,Saturday,18,122.0,2026-05
2026-04-01,,Non renseigné,Revenu,Factures,36.29,36.29,Non renseigné,Non renseigné,Sans projet,2026.0,4.0,2.0,2026.0,Wednesday,14,91.0,2026-04
2026-06-02,,Non renseigné,Revenu,Autre,98.37,98.37,Non renseigné,Non renseigné,Sans projet,2026.0,6.0,2.0,2026.0,Tuesday,23,153.0,2026-06
2026-01-01,,Non renseigné,Revenu,Loisirs,58.66,58.66,Non renseigné,Non renseigné,Sans projet,2026.0,1.0,1.0,2026.0,Thursday,1,1.0,2026-01
2026-12-02,,Non renseigné,Revenu,Autre,315.49,315.49,Non renseigné,Non renseigné,Sans projet,2026.0,12.0,4.0,2026.0,Wednesday,49,336.0,2026-12
2026-05-01,,Non renseigné,Revenu,Salaire,1050.0,1050.0,Non renseigné,Non renseigné,Sans projet,2026.0,5.0,2.0,2026.0,Friday,18,121.0,2026-05
2026-09-02,,Non renseigné,Revenu,Loisirs,315.2,315.2,Non renseigné,Non renseigné,Sans projet,2026.0,9.0,3.0,2026.0,Wednesday,36,245.0,2026-09
2026-01-01,,Non renseigné,Revenu,Transport,263.93,263.93,Non renseigné,Non renseigné,Sans projet,2026.0,1.0,1.0,2026.0,Thursday,1,1.0,2026-01
2026-12-01,,Non renseigné,Revenu,Alimentation,394.11,394.11,Non renseigné,Non renseigné,Sans projet,2026.0,12.0,4.0,2026.0,Tuesday,49,335.0,2026-12
2026-01-01,,Non renseigné,Revenu,Autre,101.15,101.15,Non renseigné,Non renseigné,Sans projet,2026.0,1.0,1.0,2026.0,Thursday,1,1.0,2026-01
2026-07-01,,Non renseigné,Revenu,Salaire,2327.0,2327.0,Non renseigné,Non renseigné,Sans projet,2026.0,7.0,3.0,2026.0,Wednesday,27,182.0,2026-07
2026-01-01,,Non renseigné,Revenu,Factures,400.46,400.46,Non renseigné,Non renseigné,Sans projet,2026.0,1.0,1.0,2026.0,Thursday,1,1.0,2026-01
2026-06-02,,Non renseigné,Revenu,Salaire,1537.0,1537.0,Non renseigné,Non renseigné,Sans projet,2026.0,6.0,2.0,2026.0,Tuesday,23,153.0,2026-06
2026-02-02,,Non renseigné,Revenu,Alimentation,69.8,69.8,Non renseigné,Non renseigné,Sans projet,2026.0,2.0,1.0,2026.0,Monday,6,33.0,2026-02
2026-07-02,,Non renseigné,Revenu,Factures,193.98,193.98,Non renseigné,Non renseigné,Sans projet,2026.0,7.0,3.0,2026.0,Thursday,27,183.0,2026-07
